image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,sobel_gradient_rmse,taylor_gradient_rmse,taylor_improvement_factor
Images/cameraman.png,256,256,11,saltpepper,1.0,,0.0099945068359375,8.850096659160295,1.702493725886155,5.198313817311593
Images/cameraman.png,256,256,11,saltpepper,5.0,,0.0500030517578125,19.32424962881137,5.0082421469558875,3.8584894783006938
Images/cameraman.png,256,256,11,saltpepper,10.0,,0.100006103515625,27.461660951299233,8.644844256864353,3.176651902027451
Images/cameraman.png,256,256,11,gaussian,10.0,9.994355435375216,,12.782231098143404,5.868663461987304,2.1780480651066263
Images/cameraman.png,256,256,11,gaussian,20.0,19.994355435375216,,4.042096384876842,2.2611197221036647,1.7876525269153907
Images/cameraman.png,256,256,11,gaussian,30.0,29.994355435375212,,1.2782231098143406,0.991812799915076,1.2887745650427063
Images/cameraman.png,256,256,29,saltpepper,1.0,,0.0099945068359375,9.032014339308741,1.6598368029783441,5.441507456095719
Images/cameraman.png,256,256,29,saltpepper,5.0,,0.0500030517578125,19.465245077222125,5.084172149949215,3.8285967711413074
Images/cameraman.png,256,256,29,saltpepper,10.0,,0.100006103515625,27.667375443340212,8.764562555420179,3.1567320409197333
Images/cameraman.png,256,256,29,gaussian,10.0,10.004446662820687,,12.728210396028517,5.8651503495094675,2.170142219302706
Images/cameraman.png,256,256,29,gaussian,20.0,20.004446662820683,,4.02501353892839,2.27316830976177,1.7706623489530413
Images/cameraman.png,256,256,29,gaussian,30.0,30.004446662820683,,1.2728210396028519,0.9976659947019162,1.2757987606695433
Images/cameraman.png,256,256,47,saltpepper,1.0,,0.0099945068359375,8.825011243735954,1.6608958672742944,5.31340430042657
Images/cameraman.png,256,256,47,saltpepper,5.0,,0.0500030517578125,19.654353360337424,5.167731398392266,3.8032846224267955
Images/cameraman.png,256,256,47,saltpepper,10.0,,0.100006103515625,27.333141802692403,8.584038456718504,3.184182123659926
Images/cameraman.png,256,256,47,gaussian,10.0,10.029352605514173,,12.702662493661826,5.856414226122463,2.169017081647292
Images/cameraman.png,256,256,47,gaussian,20.0,20.029352605514173,,4.016934582836555,2.2404485196019004,1.79291536837022
Images/cameraman.png,256,256,47,gaussian,30.0,30.029352605514173,,1.2702662493661827,1.000392416759117,1.2697679711341197
Images/lena.png,256,256,11,saltpepper,1.0,,0.0099945068359375,9.00529466954749,1.7022254334208728,5.290306731846924
Images/lena.png,256,256,11,saltpepper,5.0,,0.0500030517578125,19.631011238886163,5.25291005947387,3.7371687344009845
Images/lena.png,256,256,11,saltpepper,10.0,,0.100006103515625,27.872903181635056,8.877738061459745,3.1396401863485464
Images/lena.png,256,256,11,gaussian,10.0,9.994355435375216,,11.688605258445458,5.594644575948882,2.0892489415135023
Images/lena.png,256,256,11,gaussian,20.0,19.994355435375216,,3.6962615287308718,2.2433918987855437,1.647621858103275
Images/lena.png,256,256,11,gaussian,30.0,29.994355435375212,,1.168860525844546,1.0688985597545995,1.0935186647766613
Images/lena.png,256,256,29,saltpepper,1.0,,0.0099945068359375,9.06315630198415,1.766988315468572,5.1291546314389596
Images/lena.png,256,256,29,saltpepper,5.0,,0.0500030517578125,20.11277154504958,5.32786718371488,3.7750136877522267
Images/lena.png,256,256,29,saltpepper,10.0,,0.100006103515625,28.171718287917347,8.921820268353173,3.1576200192965107
Images/lena.png,256,256,29,gaussian,10.0,10.004446662820687,,11.639206475247375,5.61404676342014,2.0732293416374468
Images/lena.png,256,256,29,gaussian,20.0,20.00444666282069,,3.680640261876192,2.282331644652156,1.6126667088459654
Images/lena.png,256,256,29,gaussian,30.0,30.004446662820683,,1.1639206475247377,1.0858922866684424,1.0718564463660472
Images/lena.png,256,256,47,saltpepper,1.0,,0.0099945068359375,9.108697983816372,1.861284471528965,4.893769933154801
Images/lena.png,256,256,47,saltpepper,5.0,,0.0500030517578125,20.17885226740312,5.312014814058828,3.7987191251796926
Images/lena.png,256,256,47,saltpepper,10.0,,0.100006103515625,28.05072418850969,8.993605077379284,3.1189633019424963
Images/lena.png,256,256,47,gaussian,10.0,10.029352605514173,,11.615844407729371,5.570502783437786,2.085241648611251
Images/lena.png,256,256,47,gaussian,20.0,20.029352605514173,,3.6732525274554386,2.2501921947305914,1.6324172379840762
Images/lena.png,256,256,47,gaussian,30.0,30.029352605514173,,1.1615844407729372,1.0012776102854795,1.1601022821650349
Images/home.jpg,226,226,11,saltpepper,1.0,,0.010004698880100242,8.286901246919449,1.3889454274154038,5.966326022138963
Images/home.jpg,226,226,11,saltpepper,5.0,,0.05000391573341687,18.558515474617618,4.754627538638094,3.9032532672230054
Images/home.jpg,226,226,11,saltpepper,10.0,,0.10000783146683374,26.030861503196,8.441989868258975,3.083498311348299
Images/home.jpg,226,226,11,gaussian,10.0,10.00501150361182,,8.950150030465974,4.042218296859562,2.214167908106158
