noise_family,noise_level,normalization,method,method_label,n_images,n_trials,hog_cosine_similarity_mean,hog_cosine_similarity_std,hog_cosine_similarity_ci95,hog_relative_error_mean,hog_relative_error_std,hog_relative_error_ci95,common_reference_cosine_mean,common_reference_cosine_std,common_reference_cosine_ci95,common_reference_relative_error_mean,common_reference_relative_error_std,common_reference_relative_error_ci95,clean_fidelity_cosine_mean,clean_fidelity_cosine_std,clean_fidelity_cosine_ci95,clean_fidelity_relative_error_mean,clean_fidelity_relative_error_std,clean_fidelity_relative_error_ci95
saltpepper,1.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.8397290715725414,0.1258782756099428,0.10072359801562435,0.5864076289627952,0.31266041776924564,0.25018043885802305,0.7849996077829369,0.11665816427965177,0.09334597242620785,0.688096183627041,0.27576735510355693,0.22065984052206564,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,1.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.9205526404499785,0.1417003999897273,0.11338393426554946,0.3575855508246488,0.4010878622239268,0.32093713079429814,0.9205526404499785,0.1417003999897273,0.11338393426554946,0.3575855508246488,0.4010878622239268,0.32093713079429814,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,1.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9400560827869429,0.13831369978771402,0.11067400971268981,0.25754746856016725,0.42775479590954385,0.34227512176886826,0.9364978427356374,0.13830811706491436,0.11066954260409319,0.28790291684972313,0.4151639637724225,0.3322003578056936,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
saltpepper,1.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.8510454552344872,0.1360214763404241,0.10883984895740392,0.560532705146967,0.3300869839938578,0.2641245959629353,0.8023744119147779,0.1292479273802266,0.10341988098199105,0.6546406729170474,0.291629849095338,0.23335247918915597,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,1.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.9243458824869749,0.145907989335713,0.11675070693419581,0.3373216112428912,0.40853330940578214,0.3268947293184118,0.9243458824869749,0.145907989335713,0.11675070693419581,0.3373216112428912,0.40853330940578214,0.3268947293184118,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,1.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9382836876586035,0.14238074508937862,0.11392832372431136,0.25995304863458885,0.4300007831876087,0.34407228588354843,0.9357900299860485,0.14242958106958534,0.11396740064695912,0.2818471310164935,0.420915293946354,0.3368023804000391,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
saltpepper,5.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.7417703523037079,0.12974615550138638,0.10381854650829107,0.7681232278493662,0.31426149994485325,0.2514615714177476,0.6947752182093478,0.12095758672590297,0.0967862268789893,0.8341088917058551,0.2916466843892321,0.2333659502298613,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,5.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.8345621694438909,0.13930335994770157,0.11146590276686183,0.6024623872757767,0.3541315193134756,0.28336423122383,0.8345621694438909,0.13930335994770157,0.11146590276686183,0.6024623872757767,0.3541315193134756,0.28336423122383,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,5.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9002456185215929,0.14965667631692647,0.11975028123526231,0.43911824827165086,0.4054417275796363,0.3244209486475195,0.8994335453935993,0.14873850882003578,0.1190155942257707,0.4428146490668408,0.40273624383634904,0.3222561107858929,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
saltpepper,5.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.7577581880335597,0.1453699221582584,0.1163201635237087,0.740956604045457,0.33675372439783274,0.269459099293798,0.7158974715453388,0.1366220459798089,0.10932040475342726,0.8007743398357818,0.308021640003831,0.24646864359658133,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,5.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.8481541644462772,0.14787239807879554,0.11832256129602181,0.5717419283497266,0.36308496801130674,0.29052848226813505,0.8481541644462772,0.14787239807879554,0.11832256129602181,0.5717419283497266,0.36308496801130674,0.29052848226813505,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,5.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9019452447051687,0.15299428267988288,0.12242092253542211,0.4302147703534988,0.4054146811609436,0.3243993070052984,0.9010161617305656,0.15191567886995067,0.12155785973889655,0.4343434612227917,0.40253304495148706,0.3220935178150496,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
saltpepper,10.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.6849817288796579,0.13100234965402757,0.10482371117429176,0.8479625436886877,0.30639037770410216,0.24516336190806293,0.6416668455060129,0.1214781314538727,0.0972027494097844,0.902658747798552,0.28595384880201236,0.2288107330529677,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,10.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.7731977326972584,0.12624324673619478,0.10101563573881199,0.7177434220281431,0.3129239701578845,0.2503913246897576,0.7731977326972584,0.12624324673619478,0.10101563573881199,0.7177434220281431,0.3129239701578845,0.2503913246897576,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,10.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.8252576125054358,0.13382627450813886,0.10708332166270687,0.6253404028034163,0.33919065565433815,0.27140905041191277,0.8249072318484824,0.13159362104716535,0.10529682682377117,0.6267407775599856,0.3359159808339325,0.2687887648332916,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
saltpepper,10.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.7210403246541457,0.1472026599283848,0.11778665916429312,0.7958905914443712,0.33108854392715975,0.26492601081884787,0.6816266744241665,0.13793369560900245,0.11036994304228669,0.8476276678570421,0.3040925800215543,0.24332474083562827,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,10.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.7857951280277184,0.13982047392731697,0.11187968012724162,0.6927933574054702,0.327876524357526,0.2623558598822986,0.7857951280277184,0.13982047392731697,0.11187968012724162,0.6927933574054702,0.327876524357526,0.2623558598822986,1.0,0.0,0.0,0.0,0.0,0.0
saltpepper,10.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.8321979148021944,0.14287054197020638,0.1143202428532854,0.607973656446837,0.3472771333227728,0.2778795801525776,0.8308103493916196,0.14055912690741845,0.11247072560733164,0.6114974865245147,0.3435692367713734,0.2749126449930593,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
gaussian,10.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.7688976029130733,0.1299327363762813,0.10396784230178092,0.7247884818238792,0.32078670409617127,0.25668282215956606,0.7249559459988201,0.12278797118644758,0.09825083947973086,0.7908160693161945,0.29776195878093303,0.23825918884947483,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,10.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.7926132975429958,0.1250476896046707,0.10005899079482267,0.6847091626310498,0.3169315681711347,0.25359807096379816,0.7926132975429958,0.1250476896046707,0.10005899079482267,0.6847091626310498,0.3169315681711347,0.25359807096379816,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,10.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.792850156709208,0.12718502835288967,0.1017692179794237,0.683731602888312,0.3199649469352654,0.2560252794855782,0.7924014602083346,0.12466599124138036,0.09975356849442187,0.6852037954244077,0.31634094485526404,0.25312547388413403,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
gaussian,10.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.7857666664846793,0.1441503649243466,0.11534431449820877,0.6947562291806836,0.3435783084979911,0.2749199038861504,0.7460496479391595,0.13590319393245617,0.108745203319348,0.755943416680446,0.3135553047367289,0.25089649756430454,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,10.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.8030489006871299,0.1372302641854401,0.10980708067707601,0.6620701928541812,0.3311861243932137,0.2650040914534083,0.8030489006871299,0.1372302641854401,0.10980708067707601,0.6620701928541812,0.3311861243932137,0.2650040914534083,1.0,0.0,0.0,0.0,0.0,0.0
