experiment_type,noise_type,noise_level,algorithm,n,h,polynomial_order,gradient_RMSE,hog_relative_error,cosine_similarity,runtime,iterations,residual,converged,seed,source_csv
vary_n,no_noise,0,direct_squared,4,1,3,0,0,1,0.211636200002,1,4.48212378783,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,direct_squared,8,1,3,0,0,1,0.2215278,1,11.7998162222,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,direct_squared,16,1,3,0,0,1,0.245721899999,1,18.8248666671,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,direct_squared,32,1,3,0,0,1,0.300198199999,1,26.9256189884,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,iterative_squared,4,1,3,0,0,1,0.635570099999,29,4.5258142572,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,iterative_squared,8,1,3,0,0,1,0.870544899997,41,11.8034267487,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,iterative_squared,16,1,3,0,0,1,0.983855899998,39,18.8282416213,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,iterative_squared,32,1,3,0,0,1,1.3729458,39,26.9290850173,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,correntropy,4,1,3,0,0,1,0.3946545,3,4.48303603208,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,correntropy,8,1,3,0,0,1,9.9923975,162,11.9149734865,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,correntropy,16,1,3,0,0,1,16.7331658,208,19.5120727911,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,no_noise,0,correntropy,32,1,3,0,0,1,29.1383903,245,27.7632708042,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,direct_squared,4,1,3,40.0643515573,0.54270747301,0.852734299368,0.206765400006,1,23.6714873541,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,direct_squared,8,1,3,13.3740331933,0.607725596246,0.815334799837,0.219936300004,1,34.091726527,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,direct_squared,16,1,3,4.68583123097,0.553526726654,0.846804081446,0.244788200005,1,39.936714251,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,direct_squared,32,1,3,1.61820449286,0.556297012427,0.845266816989,0.292545700002,1,45.2370930049,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,iterative_squared,4,1,3,43.6230134638,0.554281498318,0.84638601031,0.634258300001,29,23.7242527977,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,iterative_squared,8,1,3,12.9798143053,0.607072944338,0.81573122013,0.874850400003,41,34.0946357196,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
vary_n,saltpepper_5,5,iterative_squared,16,1,3,4.55176001798,0.55384716623,0.846626658235,0.9799241,39,39.938874867,True,42,D:\Papers\HOG\robust-HOG\parameter_analysis_results.csv
