experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,2.0229766375,0.270436914895,0.963431937532,0.226227200008,0.224413400007,0.226227200008,0.227546599999,3,1,4.719286312,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,0.706531476502,0.238930206179,0.971456178288,0.234706300005,0.234430899989,0.234706300005,0.242421800009,3,1,11.9730701302,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,0.25919456024,0.22070503207,0.97564464441,0.255851499998,0.256060200001,0.253144199989,0.255851499998,3,1,18.9668699219,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.0953559363343,0.180449548345,0.983718980251,0.307268699995,0.309218800001,0.305151099994,0.307268699995,3,1,27.0429485655,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,0.350621883709,0.234353400781,0.972539241771,0.233415199997,0.233415199997,0.235445700004,0.233153499998,3,1,19.4774172181,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.232285828342,0.224624347082,0.974771951349,0.234495700002,0.234495700002,0.244334699993,0.2295017,3,1,23.9069021523,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.175642273603,0.211953937208,0.977537764251,0.225848400005,0.226999599996,0.225079900003,0.225848400005,3,1,27.4932939893,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,2.20240640699,0.271489357283,0.963146764441,0.660192700001,0.659773699997,0.660192700001,0.67012689999,3,29,4.76169003802,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,0.685746465074,0.23857618074,0.971540702992,0.960162600008,1.0405206,0.960162600008,0.95372260001,3,41,11.976652549,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,0.251787960409,0.220610358791,0.975665534797,1.0400408,1.0400408,1.0295944,1.04148869999,3,39,18.9702300041,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.092679505599,0.17964705538,0.983863467747,1.4423751,1.4423751,1.456556,1.42974989999,3,39,27.0464031875,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,0.340317376094,0.234648362471,0.972470072995,0.859611599997,0.883356799997,0.859611599997,0.858553600003,3,41,19.4812422868,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.225402261114,0.224431870352,0.974815167785,0.835807299998,0.835807299998,0.852850200012,0.823357600006,3,41,23.9112267015,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.170492050487,0.211875687193,0.977554346589,0.787461100001,0.797238599989,0.7765488,0.787461100001,3,41,27.4977265484,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
