image_size,n,h,polynomial_order,algorithm,algorithm_name,noise_scenario,seed,repeat,runtime,iteration_count,final_residual,converged,common_pad
64,4,1,3,1,Direct squared loss,saltpepper_10,42,1,0.00669330000528,1,36.0199787991,true,16
64,4,1,3,1,Direct squared loss,saltpepper_10,42,2,0.00663699999859,1,36.0199787991,true,16
64,4,1,3,1,Direct squared loss,saltpepper_10,42,3,0.00550929999736,1,36.0199787991,true,16
128,4,1,3,1,Direct squared loss,saltpepper_10,42,1,0.0434498999966,1,34.1994146816,true,16
128,4,1,3,1,Direct squared loss,saltpepper_10,42,2,0.0422082000005,1,34.1994146816,true,16
128,4,1,3,1,Direct squared loss,saltpepper_10,42,3,0.0422695000016,1,34.1994146816,true,16
192,4,1,3,1,Direct squared loss,saltpepper_10,42,1,0.1162396,1,33.1699380345,true,16
192,4,1,3,1,Direct squared loss,saltpepper_10,42,2,0.117284700013,1,33.1699380345,true,16
192,4,1,3,1,Direct squared loss,saltpepper_10,42,3,0.115855800002,1,33.1699380345,true,16
256,4,1,3,1,Direct squared loss,saltpepper_10,42,1,0.232278800002,1,33.0281970021,true,16
256,4,1,3,1,Direct squared loss,saltpepper_10,42,2,0.236388499994,1,33.0281970021,true,16
256,4,1,3,1,Direct squared loss,saltpepper_10,42,3,0.232980400004,1,33.0281970021,true,16
64,8,1,3,1,Direct squared loss,saltpepper_10,42,1,0.00594820000697,1,51.3165556614,true,16
64,8,1,3,1,Direct squared loss,saltpepper_10,42,2,0.00708300000406,1,51.3165556614,true,16
64,8,1,3,1,Direct squared loss,saltpepper_10,42,3,0.0069943999988,1,51.3165556614,true,16
128,8,1,3,1,Direct squared loss,saltpepper_10,42,1,0.0471163000038,1,48.6454339226,true,16
128,8,1,3,1,Direct squared loss,saltpepper_10,42,2,0.0463955000014,1,48.6454339226,true,16
128,8,1,3,1,Direct squared loss,saltpepper_10,42,3,0.0446975000086,1,48.6454339226,true,16
192,8,1,3,1,Direct squared loss,saltpepper_10,42,1,0.128589899992,1,46.819797124,true,16
192,8,1,3,1,Direct squared loss,saltpepper_10,42,2,0.123915899996,1,46.819797124,true,16
192,8,1,3,1,Direct squared loss,saltpepper_10,42,3,0.122210999994,1,46.819797124,true,16
256,8,1,3,1,Direct squared loss,saltpepper_10,42,1,0.246514800005,1,46.5280882154,true,16
256,8,1,3,1,Direct squared loss,saltpepper_10,42,2,0.244798900007,1,46.5280882154,true,16
256,8,1,3,1,Direct squared loss,saltpepper_10,42,3,0.244338600009,1,46.5280882154,true,16
64,16,1,3,1,Direct squared loss,saltpepper_10,42,1,0.00633840000955,1,61.2321807441,true,16
